model;core;flow;base_frequency;unit_of_clock_frequency;max_boost_frequency;unit_of_max_boost_frequency;cache;unit_of_cache;tdp;unit_of_tdp;socket;memory_type;memory_count;cpu_scale
Xeon Silver 4215;8;16;2.5;GHz;3.5;GHz;11.00;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4215R;8;16;3.2;GHz;4.0;GHz;11.00;MB;130;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4106H;8;16;1.8;GHz;3.0;GHz;11.00;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4108;8;16;1.8;GHz;3.0;GHz;11.00;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4109T;8;16;2.0;GHz;3.0;GHz;11.00;MB;70;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4110;8;16;2.1;GHz;3.0;GHz;11.00;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4123;8;16;3.0;GHz;3.2;GHz;11.00;MB;105;W;LGA 3647;DDR4-2400;6;2S
Xeon Platinum 8164;26;52;2.0;GHz;3.7;GHz;35.75;MB;150;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8167M;26;52;2.0;GHz;2.4;GHz;35.75;MB;165;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8170;26;52;2.1;GHz;3.7;GHz;35.75;MB;165;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8170M;26;52;2.1;GHz;3.7;GHz;35.75;MB;165;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8171M;26;52;2.3;GHz;3.8;GHz;35.75;MB;185;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8172M;26;52;2.6;GHz;3.7;GHz;35.75;MB;205;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8179M;26;52;2.4;GHz;3.5;GHz;35.75;MB;240;W;LGA 3647;DDR4-2666;6;8S
Xeon Gold 6234;8;16;3.3;GHz;4.0;GHz;24.75;MB;130;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6244;8;16;3.6;GHz;4.4;GHz;24.75;MB;150;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6250;8;16;3.9;GHz;4.5;GHz;35.75;MB;185;W;LGA 3647;DDR4-2933;6;4S
Xeon Platinum 8173M;28;56;2.0;GHz;3.5;GHz;38.50;MB;165;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8176;28;56;2.1;GHz;3.8;GHz;38.50;MB;165;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8176F;28;56;2.1;GHz;3.8;GHz;38.50;MB;173;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8176M;28;56;2.1;GHz;3.8;GHz;38.50;MB;165;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8180;28;56;2.5;GHz;3.8;GHz;38.50;MB;205;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8180M;28;56;2.5;GHz;3.8;GHz;38.50;MB;205;W;LGA 3647;DDR4-2666;6;8S
Xeon Gold 6250L;8;16;3.9;GHz;4.5;GHz;35.75;MB;185;W;LGA 3647;DDR4-2933;6;4S
Xeon Bronze 3206R;8;8;1.9;GHz;1.9;GHz;11.00;MB;85;W;LGA 3647;DDR4-2133;6;2S
Xeon Bronze 3106;8;8;1.7;GHz;1.7;GHz;11.00;MB;85;W;LGA 3647;DDR4-2133;6;2S
